DesigningControlledExperiments?, Group, StateChangeMW, All t cnt, All t sum, All t mean, All t stddev, All t min, All t max, All t med, Run cnt, Run t sum, Run t mean, Run t stddev, Run t min, Run t max, Run t med, Cmplt run cnt, Cmplt run t sum, Cmplt run t mean, Cmplt run t stddev, Cmplt run t min, Cmplt run t max, Cmplt run t med, Incmplt run cnt, Incmplt run t sum, Incmplt run t mean, Incmplt run t stddev, Incmplt run t min, Incmplt run t max, Incmplt run t med, Pause cnt, Pause t sum, Pause t mean, Pause t stddev, Pause t min, Pause t max, Pause t med, Data table show cnt, Data table show t sum, Data table show t mean, Data table show t stddev, Data table show t min, Data table show t max, Data table show t med, Hyp table show cnt, Hyp table show t sum, Hyp table show t mean, Hyp table show t stddev, Hyp table show t min, Hyp table show t max, Hyp table show t med, Hyp var change cnt, Hyp var change t sum, Hyp var change t mean, Hyp var change t stddev, Hyp var change t min, Hyp var change t max, Hyp var change t med, Hyp make cnt, Hyp make t sum, Hyp make t mean, Hyp make t stddev, Hyp make t min, Hyp make t max, Hyp make t med, Mw iv change cnt, Mw iv change t sum, Mw iv change t mean, Mw iv change t stddev, Mw iv change t min, Mw iv change t max, Mw iv change t med, CVS cnt, Rept cnt, Cm All t cnt, Cm All t sum, Cm All t mean, Cm All t stddev, Cm All t min, Cm All t max, Cm All t med, Cm Run cnt, Cm Run t sum, Cm Run t mean, Cm Run t stddev, Cm Run t min, Cm Run t max, Cm Run t med, Cm Cmplt run cnt, Cm Cmplt run t sum, Cm Cmplt run t mean, Cm Cmplt run t stddev, Cm Cmplt run t min, Cm Cmplt run t max, Cm Cmplt run t med, Cm Incmplt run cnt, Cm Incmplt run t sum, Cm Incmplt run t mean, Cm Incmplt run t stddev, Cm Incmplt run t min, Cm Incmplt run t max, Cm Incmplt run t med, Cm Pause cnt, Cm Pause t sum, Cm Pause t mean, Cm Pause t stddev, Cm Pause t min, Cm Pause t max, Cm Pause t med, Cm Data table show cnt, Cm Data table show t sum, Cm Data table show t mean, Cm Data table show t stddev, Cm Data table show t min, Cm Data table show t max, Cm Data table show t med, Cm Hyp table show cnt, Cm Hyp table show t sum, Cm Hyp table show t mean, Cm Hyp table show t stddev, Cm Hyp table show t min, Cm Hyp table show t max, Cm Hyp table show t med, Cm Hyp var change cnt, Cm Hyp var change t sum, Cm Hyp var change t mean, Cm Hyp var change t stddev, Cm Hyp var change t min, Cm Hyp var change t max, Cm Hyp var change t med, Cm Hyp make cnt, Cm Hyp make t sum, Cm Hyp make t mean, Cm Hyp make t stddev, Cm Hyp make t min, Cm Hyp make t max, Cm Hyp make t med, Cm Mw iv change cnt, Cm Mw iv change t sum, Cm Mw iv change t mean, Cm Mw iv change t stddev, Cm Mw iv change t min, Cm Mw iv change t max, Cm Mw iv change t med, Cm CVS cnt, Cm Rept cnt
N,6,1,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,7.75,10.1664715,2,32,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57,9.5,11.39736812,2,32,5.5,1,59,59,0,59,59,59,0,0,0,0,0,0,0,0,0
Y,1,3,6,16,2.666666667,2.250925735,1,7,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1.666666667,0.577350269,1,2,2,0,0,18,94,5.222222222,6.752390039,0,29,2.5,3,9,3,2.645751311,1,6,2,3,9,3,2.645751311,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,8.5,9.192388155,2,15,8.5,0,0,0,0,0,0,0,4,44,11,12.24744871,2,29,6.5,1,44,44,0,44,44,44,4,6,1.5,0.577350269,1,2,1.5,3,0
Y,2,3,13,175,13.46153846,35.28128726,1,130,2,2,8,4,4.242640687,1,7,4,2,8,4,4.242640687,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,136,27.2,57.46912214,1,130,2,1,138,138,0,138,138,138,1,1,1,0,1,1,1,1,0,25,261,10.44,25.72463152,1,130,2,4,14,3.5,3,1,7,3,4,14,3.5,3,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,156,17.33333333,42.41756712,1,130,2,2,185,92.5,64.34671709,47,138,92.5,2,2,1,0,1,1,1,1,2
Y,1,4,11,180,16.36363636,38.24728154,1,131,3,2,3,1.5,0.707106781,1,2,1.5,2,3,1.5,0.707106781,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,139,34.75,64.16839825,2,131,3,0,0,0,0,0,0,0,2,19,9.5,9.192388155,3,16,9.5,1,0,24,279,11.625,25.83023591,1,131,5.5,4,23,5.75,7.544313532,1,17,2.5,4,23,5.75,7.544313532,1,17,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,0,8,8,8,0,0,0,0,0,0,0,8,165,20.625,44.71157568,2,131,4,1,31,31,0,31,31,31,3,23,7.666666667,7.234178138,3,16,4,4,0
Y,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,65,5,3.829708431,1,14,3,2,4,2,1.414213562,1,3,2,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,5,5,5,0,0,0,0,0,0,0,4,17,4.25,1.5,3,6,4,1,20,20,0,20,20,20,1,2,2,0,2,2,2,1,0
N,4,1,1,4,4,0,4,4,4,1,4,4,0,4,4,4,0,0,0,0,0,0,0,1,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,113,7.533333333,5.730453319,1,23,6,3,16,5.333333333,5.131601439,1,11,4,2,12,6,7.071067812,1,11,6,1,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,6.75,4.272001873,2,12,6.5,1,34,34,0,34,34,34,4,34,8.5,9.746794345,2,23,4.5,1,1
Y,6,3,3,17,5.666666667,5.686240703,1,12,4,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,4,4,4,0,0,16,122,7.625,7.428548535,1,24,5,3,8,2.666666667,2.886751346,1,6,1,3,8,2.666666667,2.886751346,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,9.4,8.820430828,2,24,8,1,48,48,0,48,48,48,3,13,4.333333333,1.527525232,3,6,4,3,0
N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,624,48,98.42848504,2,352,5,2,7,3.5,2.121320344,2,5,3.5,2,7,3.5,2.121320344,2,5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,455,56.875,120.5421533,2,352,4.5,1,229,229,0,229,229,229,0,0,0,0,0,0,0,0,1
Y,2,4,6,131,21.83333333,45.64829314,2,115,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,127,25.4,50.09291367,2,115,3,1,131,131,0,131,131,131,0,0,0,0,0,0,0,0,0,17,193,11.35294118,27.04612074,1,115,3,2,9,4.5,4.949747468,1,8,4.5,2,9,4.5,4.949747468,1,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,143,15.88888889,37.20364379,2,115,3,2,148,74,80.61017306,17,131,74,1,3,3,0,3,3,3,1,0
N,6,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,107,13.375,32.60121602,0,94,2,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,2,4,2,1.414213562,1,3,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,24.75,46.16907334,1,94,2,1,99,99,0,99,99,99,0,0,0,0,0,0,0,0,0
N,5,3,3,13,4.333333333,2.081665999,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0,11,11,11,1,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,213,9.260869565,14.43234181,1,62,5,3,22,7.333333333,3.511884584,4,11,7,3,22,7.333333333,3.511884584,4,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,10,1.414213562,9,11,10,1,2,2,0,2,2,2,8,72,9,14.43210706,1,44,4,1,57,57,0,57,57,57,2,5,2.5,0.707106781,2,3,2.5,3,0
Y,6,2,18,153,8.5,26.87279403,0,116,2,3,3,1,0,1,1,1,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,123,30.75,56.83528833,2,116,2.5,1,123,123,0,123,123,123,4,8,2,1.414213562,1,4,1.5,3,0,38,227,5.973684211,18.51148196,0,116,2,6,12,2,2.966479395,0,8,1,6,12,2,2.966479395,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,9,9,9,0,0,0,0,0,0,0,8,148,18.5,39.53660149,1,116,4.5,2,150,75,67.88225099,27,123,75,8,19,2.375,1.505940617,1,5,2,3,3
N,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,59,7.375,6.926914382,2,22,5,1,2,2,0,2,2,2,1,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,8.5,9.146948489,2,22,5,1,37,37,0,37,37,37,1,13,13,0,13,13,13,0,0
Y,2,2,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,3.1875,3.506541506,1,15,2,3,9,3,2,1,5,3,1,5,5,0,5,5,5,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,2.333333333,1.732050808,1,6,2,1,11,11,0,11,11,11,1,2,2,0,2,2,2,1,1
Y,4,2,4,20,5,1.632993162,3,7,5,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,0,5,5,5,0,0,18,100,5.555555556,3.467873093,2,15,5,3,12,4,1,3,5,4,3,12,4,1,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,7.5,3.785938897,5,13,6,1,35,35,0,35,35,35,6,31,5.166666667,5.036533199,2,15,3.5,2,0
N,5,1,7,152,21.71428571,45.79561218,1,125,3,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,133,33.25,61.17393236,2,125,3,1,134,134,0,134,134,134,0,0,0,0,0,0,0,0,0,12,223,18.58333333,36.18000034,1,125,3.5,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,202,25.25,43.43056856,2,125,4.5,2,205,102.5,44.54772721,71,134,102.5,0,0,0,0,0,0,0,0,0
N,6,3,9,513,57,162.3814953,1,490,2,1,4,4,0,4,4,4,0,0,0,0,0,0,0,1,4,4,0,4,4,4,0,0,0,0,0,0,0,1,10,10,0,10,10,10,1,2,2,0,2,2,2,4,496,124,244,2,490,2,1,497,497,0,497,497,497,0,0,0,0,0,0,0,0,0,19,1002,52.73684211,144.4286991,1,490,2,2,16,8,5.656854249,4,12,8,1,12,12,0,12,12,12,1,4,4,0,4,4,4,0,0,0,0,0,0,0,2,15,7.5,3.535533906,5,10,7.5,2,8,4,2.828427125,2,6,4,8,516,64.5,171.9900329,1,490,2,2,518,259,336.5828278,21,497,259,0,0,0,0,0,0,0,0,1
Y,6,2,2,92,46,63.63961031,1,91,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,171,12.21428571,23.26826353,1,91,5.5,2,3,1.5,0.707106781,1,2,1.5,2,3,1.5,0.707106781,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,4,40,10,6.683312552,3,19,9,1,46,46,0,46,46,46,2,8,4,2.828427125,2,6,4,1,0
N,4,3,1,72,72,0,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,72,0,72,72,72,0,0,0,0,0,0,0,0,0,9,110,12.22222222,22.67585598,2,72,3,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,5.25,5.188127472,2,13,3,2,96,48,33.9411255,24,72,48,1,4,4,0,4,4,4,0,0
N,4,1,9,307,34.11111111,92.59649621,1,281,3,1,2,2,0,2,2,2,1,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,291,72.75,138.8341337,3,281,3.5,1,292,292,0,292,292,292,2,7,3.5,2.121320344,2,5,3.5,0,0,25,621,24.84,65.97769825,1,281,5,3,8,2.666666667,1.154700538,2,4,2,2,4,2,0,2,2,2,1,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,562,46.83333333,92.05811735,3,281,6.5,3,573,191,120.2372654,58,292,223,5,27,5.4,3.507135583,2,11,5,0,0
Y,6,4,7,46,6.571428571,4.720774755,1,12,6,2,4,2,1.414213562,1,3,2,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,2.828427125,2,6,4,1,0,18,303,16.83333333,42.9709204,1,187,5.5,4,11,2.75,2.362907813,1,6,2,4,11,2.75,2.362907813,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,198,49.5,91.68242289,2,187,4.5,1,199,199,0,199,199,199,3,10,3.333333333,2.309401077,2,6,2,4,0
N,2,3,1,3,3,0,3,3,3,1,3,3,0,3,3,3,0,0,0,0,0,0,0,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,3.714285714,3.773340064,1,12,2,2,7,3.5,0.707106781,3,4,3.5,0,0,0,0,0,0,0,2,7,3.5,0.707106781,3,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,4.5,5,2,12,2,1,19,19,0,19,19,19,0,0,0,0,0,0,0,0,1
Y,3,1,19,377,19.84210526,71.99711658,0,317,3,3,2,0.666666667,0.577350269,0,1,1,3,2,0.666666667,0.577350269,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,330,55,128.3557556,2,317,2.5,1,331,331,0,331,331,331,4,21,5.25,3.201562119,3,10,4,3,0,54,580,10.74074074,42.82883229,0,317,3,10,21,2.1,2.846049894,0,10,1,9,11,1.222222222,0.666666667,0,2,1,1,10,10,0,10,10,10,2,134,67,91.92388155,2,132,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,377,34.27272727,93.86808926,2,317,5,2,390,195,192.3330445,59,331,195,13,50,3.846153846,2.478109288,2,10,3,19,0
N,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,44,5.5,5.182387756,0,15,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,5.25,4.272001873,2,11,4,1,23,23,0,23,23,23,1,6,6,0,6,6,6,0,0
Y,6,1,1,7,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,117,7.3125,4.331570154,2,14,6,2,5,2.5,0.707106781,2,3,2.5,2,5,2.5,0.707106781,2,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,7,8.485281374,1,13,7,0,0,0,0,0,0,0,5,40,8,3.674234614,5,14,6,1,52,52,0,52,52,52,3,20,6.666666667,3.055050463,4,10,6,1,0
N,4,3,10,235,23.5,60.76045863,1,196,2.5,2,4,2,1.414213562,1,3,2,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,201,50.25,97.16781017,1,196,2,0,0,0,0,0,0,0,1,2,2,0,2,2,2,1,0,14,363,25.92857143,58.49058344,1,196,2,2,4,2,1.414213562,1,3,2,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,329,41.125,75.62395218,1,196,2,0,0,0,0,0,0,0,1,2,2,0,2,2,2,1,0
Y,5,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78,5.571428571,4.309458037,1,15,4.5,3,5,1.666666667,0.577350269,1,2,2,2,4,2,0,2,2,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,6,2.160246899,4,9,5.5,1,25,25,0,25,25,25,3,20,6.666666667,4.509249753,2,11,7,1,1
N,2,4,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,2.285714286,1.704336206,1,5,1,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,2,4,2,1.414213562,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,2,1,5,1,1,12,12,0,12,12,12,0,0,0,0,0,0,0,0,1
Y,6,3,17,130,7.647058824,18.44566743,0,78,2,3,12,4,5.196152423,1,10,1,3,12,4,5.196152423,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,22,0,22,22,22,0,0,0,0,0,0,0,4,85,21.25,37.88029391,1,78,3,1,86,86,0,86,86,86,2,3,1.5,0.707106781,1,2,1.5,3,0,35,185,5.285714286,13.01485899,0,78,2,6,15,2.5,3.728270376,0,10,1,6,15,2.5,3.728270376,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,22,0,22,22,22,0,0,0,0,0,0,0,8,95,11.875,26.74983311,1,78,2.5,2,96,48,53.74011537,10,86,48,7,18,2.571428571,1.511857892,1,5,2,3,3
Y,5,4,9,57,6.333333333,6.763874629,1,23,6,2,3,1.5,0.707106781,1,2,1.5,2,3,1.5,0.707106781,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,23,0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,2.828427125,2,6,4,1,0,49,224,4.571428571,4.031128874,1,23,3,8,13,1.625,0.744023809,1,3,1.5,8,13,1.625,0.744023809,1,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,15,11.3137085,7,23,15,0,0,0,0,0,0,0,10,42,4.2,1.813529401,2,7,4,2,46,23,1.414213562,22,24,23,11,37,3.363636364,2.01359019,2,8,2,5,2
N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48,9.6,13.7949266,2,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,11.25,15.34872416,2,34,4.5,1,48,48,0,48,48,48,0,0,0,0,0,0,0,0,0
N,4,2,8,113,14.125,26.24302628,1,78,4.5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90,22.5,37.00900791,3,78,4.5,1,91,91,0,91,91,91,1,5,5,0,5,5,5,0,0,17,162,9.529411765,18.24183943,1,78,4,2,2,1,0,1,1,1,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,123,13.66666667,24.53059314,1,78,4,2,126,63,39.59797975,35,91,63,2,11,5.5,0.707106781,5,6,5.5,1,0
N,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,81,4.5,3.838657854,1,15,3.5,3,4,1.333333333,0.577350269,1,2,1,3,4,1.333333333,0.577350269,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,6,6,6,0,0,0,0,0,0,0,4,22,5.5,1.914854216,4,8,5,1,23,23,0,23,23,23,3,11,3.666666667,2.081665999,2,6,3,3,0
Y,6,4,13,146,11.23076923,27.66512198,0,102,2,2,1,0.5,0.707106781,0,1,0.5,2,1,0.5,0.707106781,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107,26.75,50.16888146,1,102,2,1,107,107,0,107,107,107,2,10,5,4.242640687,2,8,5,1,0,25,200,8,20.08108563,0,102,2,4,6,1.5,1.290994449,0,3,1.5,4,6,1.5,1.290994449,0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,125,15.625,34.99770401,1,102,3,2,126,63,62.22539674,19,107,63,3,12,4,3.464101615,2,8,2,1,2
N,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,81,11.57142857,12.12239172,2,31,3,1,2,2,0,2,2,2,0,0,0,0,0,0,0,1,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,6,6.683312552,2,16,3,1,55,55,0,55,55,55,1,24,24,0,24,24,24,0,0
Y,5,2,15,204,13.6,36.22508996,1,144,4,3,8,2.666666667,2.886751346,1,6,1,3,8,2.666666667,2.886751346,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,156,39,70.01428426,2,144,5,1,160,160,0,160,160,160,2,4,2,0,2,2,2,3,0,34,289,8.5,24.2365239,1,144,3,7,20,2.857142857,2.544836041,1,7,2,7,20,2.857142857,2.544836041,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,175,21.875,49.3976214,2,144,5,2,180,90,98.99494937,20,160,90,5,11,2.2,1.095445115,1,4,2,6,2
N,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,4.111111111,2.666666667,1,8,3,1,8,8,0,8,8,8,1,8,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2.25,0.957427108,1,3,2.5,2,16,8,2.828427125,6,10,8,1,6,6,0,6,6,6,0,0
