DesigningControlledExperiments?, Group, StateChangeMW, All t cnt, All t sum, All t mean, All t stddev, All t min, All t max, All t med, Run cnt, Run t sum, Run t mean, Run t stddev, Run t min, Run t max, Run t med, Cmplt run cnt, Cmplt run t sum, Cmplt run t mean, Cmplt run t stddev, Cmplt run t min, Cmplt run t max, Cmplt run t med, Incmplt run cnt, Incmplt run t sum, Incmplt run t mean, Incmplt run t stddev, Incmplt run t min, Incmplt run t max, Incmplt run t med, Pause cnt, Pause t sum, Pause t mean, Pause t stddev, Pause t min, Pause t max, Pause t med, Data table show cnt, Data table show t sum, Data table show t mean, Data table show t stddev, Data table show t min, Data table show t max, Data table show t med, Hyp table show cnt, Hyp table show t sum, Hyp table show t mean, Hyp table show t stddev, Hyp table show t min, Hyp table show t max, Hyp table show t med, Hyp var change cnt, Hyp var change t sum, Hyp var change t mean, Hyp var change t stddev, Hyp var change t min, Hyp var change t max, Hyp var change t med, Hyp make cnt, Hyp make t sum, Hyp make t mean, Hyp make t stddev, Hyp make t min, Hyp make t max, Hyp make t med, Mw iv change cnt, Mw iv change t sum, Mw iv change t mean, Mw iv change t stddev, Mw iv change t min, Mw iv change t max, Mw iv change t med, CVS cnt, Rept cnt, Cm All t cnt, Cm All t sum, Cm All t mean, Cm All t stddev, Cm All t min, Cm All t max, Cm All t med, Cm Run cnt, Cm Run t sum, Cm Run t mean, Cm Run t stddev, Cm Run t min, Cm Run t max, Cm Run t med, Cm Cmplt run cnt, Cm Cmplt run t sum, Cm Cmplt run t mean, Cm Cmplt run t stddev, Cm Cmplt run t min, Cm Cmplt run t max, Cm Cmplt run t med, Cm Incmplt run cnt, Cm Incmplt run t sum, Cm Incmplt run t mean, Cm Incmplt run t stddev, Cm Incmplt run t min, Cm Incmplt run t max, Cm Incmplt run t med, Cm Pause cnt, Cm Pause t sum, Cm Pause t mean, Cm Pause t stddev, Cm Pause t min, Cm Pause t max, Cm Pause t med, Cm Data table show cnt, Cm Data table show t sum, Cm Data table show t mean, Cm Data table show t stddev, Cm Data table show t min, Cm Data table show t max, Cm Data table show t med, Cm Hyp table show cnt, Cm Hyp table show t sum, Cm Hyp table show t mean, Cm Hyp table show t stddev, Cm Hyp table show t min, Cm Hyp table show t max, Cm Hyp table show t med, Cm Hyp var change cnt, Cm Hyp var change t sum, Cm Hyp var change t mean, Cm Hyp var change t stddev, Cm Hyp var change t min, Cm Hyp var change t max, Cm Hyp var change t med, Cm Hyp make cnt, Cm Hyp make t sum, Cm Hyp make t mean, Cm Hyp make t stddev, Cm Hyp make t min, Cm Hyp make t max, Cm Hyp make t med, Cm Mw iv change cnt, Cm Mw iv change t sum, Cm Mw iv change t mean, Cm Mw iv change t stddev, Cm Mw iv change t min, Cm Mw iv change t max, Cm Mw iv change t med, Cm CVS cnt, Cm Rept cnt
Y,3,1,11,678,61.63636364,177.2807224,2,595,4,2,10,5,4.242640687,2,8,5,2,10,5,4.242640687,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,602,150.5,296.3337083,2,595,2.5,1,644,644,0,644,644,644,1,2,2,0,2,2,2,1,0,35,930,26.57142857,99.84761499,1,595,6,6,33,5.5,3.146426545,1,8,7,5,25,5,3.240370349,1,8,7,1,8,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,27,0,27,27,27,12,659,54.91666667,170.1803633,2,595,3.5,3,715,238.3333333,351.3464577,31,644,40,4,16,4,2.828427125,2,8,3,4,2
N,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,98,4.454545455,4.114171475,0,18,3,4,8,2,1.414213562,0,3,2.5,4,8,2,1.414213562,0,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3.25,1.258305739,2,5,3,1,15,15,0,15,15,15,6,38,6.333333333,6.08824003,2,18,4.5,2,1
N,3,4,2,150,75,94.75230868,8,142,75,1,142,142,0,142,142,142,1,142,142,0,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,319,14.5,35.54440549,1,142,3.5,4,148,37,70.01428426,1,142,2.5,3,144,48,81.40638796,1,142,1,1,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,129,14.33333333,33.31291041,1,103,3,2,133,66.5,65.76093065,20,113,66.5,3,11,3.666666667,2.081665999,2,6,3,1,2
Y,5,2,8,148,18.5,43.88947157,0,127,2.5,2,2,1,1.414213562,0,2,1,2,2,1,1.414213562,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,129,64.5,88.38834765,2,127,64.5,1,0,24,227,9.458333333,25.23451599,0,127,3.5,4,6,1.5,1,0,2,2,4,6,1.5,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,9.5,6.363961031,5,14,9.5,0,0,0,0,0,0,0,4,31,7.75,5.909032634,3,16,6,1,35,35,0,35,35,35,6,147,24.5,50.25833264,2,127,4.5,2,1
N,5,1,5,682,136.4,293.8457078,1,662,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,5,4.546060566,1,11,4,1,662,662,0,662,662,662,0,0,0,0,0,0,0,0,0,68,1695,24.92647059,101.0243529,1,662,4,8,35,4.375,4.926241685,1,14,2,8,35,4.375,4.926241685,1,14,2,0,0,0,0,0,0,0,1,5,5,0,5,5,5,3,75,25,29.59729717,5,59,11,4,19,4.75,4.991659711,1,12,3,21,742,35.33333333,113.2414824,1,518,4,2,815,407.5,359.9173516,153,662,407.5,8,33,4.125,2.587745848,2,9,3.5,7,2
N,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,211,5.861111111,8.495890697,1,46,3,8,26,3.25,5.574175147,1,17,1,8,26,3.25,5.574175147,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,13.25,21.8384218,2,46,2.5,1,56,56,0,56,56,56,8,25,3.125,0.991031209,2,5,3,9,0
N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,480,15.48387097,27.95337901,0,131,6,7,247,35.28571429,53.66163833,1,131,2,7,247,35.28571429,53.66163833,1,131,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,15.6,15.99374878,2,33,7,1,78,78,0,78,78,78,6,10,1.666666667,0.816496581,1,3,1.5,6,1
N,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,4.375,2.326094213,2,8,3.5,1,4,4,0,4,4,4,1,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,4,2.708012802,2,8,3,1,18,18,0,18,18,18,1,7,7,0,7,7,7,0,0
N,2,2,1,341,341,0,341,341,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,341,341,0,341,341,341,0,0,0,0,0,0,0,0,0,16,469,29.3125,84.20666541,1,341,4.5,3,5,1.666666667,0.577350269,1,2,2,3,5,1.666666667,0.577350269,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,5.75,3.862210075,2,10,5.5,1,341,341,0,341,341,341,3,11,3.666666667,2.886751346,2,7,2,3,0
N,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,2.6,2.073644135,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,2.160246899,1,6,2.5,1,13,13,0,13,13,13,0,0,0,0,0,0,0,0,0
